"month","revenue"
2009-12-01 00:00:00.000,799847.11
2010-01-01 00:00:00.000,624032.89
2010-02-01 00:00:00.000,533091.43
2010-03-01 00:00:00.000,765848.76
2010-04-01 00:00:00.000,590580.43
2010-05-01 00:00:00.000,615322.83
2010-06-01 00:00:00.000,679786.61
2010-07-01 00:00:00.000,575236.36
2010-08-01 00:00:00.000,656776.34
2010-09-01 00:00:00.000,853650.43
2010-10-01 00:00:00.000,1045168.35
2010-11-01 00:00:00.000,1422654.64
2010-12-01 00:00:00.000,1126445.47
2011-01-01 00:00:00.000,560000.26
2011-02-01 00:00:00.000,498062.65
2011-03-01 00:00:00.000,683267.08
2011-04-01 00:00:00.000,493207.12
2011-05-01 00:00:00.000,723333.51
2011-06-01 00:00:00.000,691123.12
2011-07-01 00:00:00.000,681300.11
2011-08-01 00:00:00.000,682680.51
2011-09-01 00:00:00.000,1019687.62
2011-10-01 00:00:00.000,1070704.67
2011-11-01 00:00:00.000,1461756.25
